,spine_ID,Label,Area,IntDen,RawIntDen,batch,culture,segment_ID,time,group,segment,time_cor,normed_size,summed_size
29,30,MAX_W4-C1-63xz-day3.tif,1.363,121.316,12369.0,07032022,W4C1,segment1,day3,rMS,W4C1-segment1,3.0,4.447719606980495,79.701
0,1,MAX_W4C1-63xz-day4-1h-post.tif,0.392,55.171,5625.0,07032022,W4C1,segment1,day4-h1,rMS,W4C1-segment1,4.6,0.9263873730165393,55.171
1,2,MAX_W4C1-63xz-day4-1h-post.tif,0.383,23.785,2425.0,07032022,W4C1,segment1,day4-h1,rMS,W4C1-segment1,4.6,0.9857841511936339,55.171
2,3,MAX_W4C1-63xz-day4-1h-post.tif,0.608,65.489,6677.0,07032022,W4C1,segment1,day4-h1,rMS,W4C1-segment1,4.6,1.4739483693817381,55.171
3,4,MAX_W4C1-63xz-day4-1h-post.tif,1.285,152.859,15585.0,07032022,W4C1,segment1,day4-h1,rMS,W4C1-segment1,4.6,1.1346927565063765,55.171
4,5,MAX_W4C1-63xz-day4-1h-post.tif,0.814,93.353,9518.0,07032022,W4C1,segment1,day4-h1,rMS,W4C1-segment1,4.6,0.8441665310256271,55.171
5,6,MAX_W4C1-63xz-day4-1h-post.tif,0.726,47.373,4830.0,07032022,W4C1,segment1,day4-h1,rMS,W4C1-segment1,4.6,0.5481146374480788,55.171
6,7,MAX_W4C1-63xz-day4-1h-post.tif,1.932,234.296,23888.0,07032022,W4C1,segment1,day4-h1,rMS,W4C1-segment1,4.6,1.125519414700697,55.171
7,8,MAX_W4C1-63xz-day4-1h-post.tif,1.344,133.41,13602.0,07032022,W4C1,segment1,day4-h1,rMS,W4C1-segment1,4.6,0.3854688556420436,55.171
8,9,MAX_W4C1-63xz-day4-1h-post.tif,0.481,44.391,4526.0,07032022,W4C1,segment1,day4-h1,rMS,W4C1-segment1,4.6,0.8760978112850066,55.171
9,10,MAX_W4C1-63xz-day4-1h-post.tif,0.647,52.63,5366.0,07032022,W4C1,segment1,day4-h1,rMS,W4C1-segment1,4.6,1.6659280830590024,55.171
10,11,MAX_W4C1-63xz-day4-1h-post.tif,0.294,11.848,1208.0,07032022,W4C1,segment1,day4-h1,rMS,W4C1-segment1,4.6,0.419146000636785,55.171
11,12,MAX_W4C1-63xz-day4-1h-post.tif,0.883,103.574,10560.0,07032022,W4C1,segment1,day4-h1,rMS,W4C1-segment1,4.6,2.063720411253686,55.171
12,13,MAX_W4C1-63xz-day4-1h-post.tif,0.745,90.499,9227.0,07032022,W4C1,segment1,day4-h1,rMS,W4C1-segment1,4.6,1.6874382353489585,55.171
13,14,MAX_W4C1-63xz-day4-1h-post.tif,0.618,48.962,4992.0,07032022,W4C1,segment1,day4-h1,rMS,W4C1-segment1,4.6,0.6362502274085818,55.171
14,15,MAX_W4C1-63xz-day4-1h-post.tif,1.265,74.63,7609.0,07032022,W4C1,segment1,day4-h1,rMS,W4C1-segment1,4.6,0.7946716641998445,55.171
15,16,MAX_W4C1-63xz-day4-1h-post.tif,1.285,156.4,15946.0,07032022,W4C1,segment1,day4-h1,rMS,W4C1-segment1,4.6,4.363961048020314,55.171
16,17,MAX_W4C1-63xz-day4-1h-post.tif,1.893,129.379,13191.0,07032022,W4C1,segment1,day4-h1,rMS,W4C1-segment1,4.6,1.6866208658697153,55.171
17,18,MAX_W4C1-63xz-day4-1h-post.tif,1.187,160.872,16402.0,07032022,W4C1,segment1,day4-h1,rMS,W4C1-segment1,4.6,4.035925740090317,55.171
18,19,MAX_W4C1-63xz-day4-1h-post.tif,0.687,41.675,4249.0,07032022,W4C1,segment1,day4-h1,rMS,W4C1-segment1,4.6,1.5361789966456558,55.171
19,20,MAX_W4C1-63xz-day4-1h-post.tif,2.02,172.26,17563.0,07032022,W4C1,segment1,day4-h1,rMS,W4C1-segment1,4.6,2.1324585293389453,55.171
20,21,MAX_W4C1-63xz-day4-1h-post.tif,0.785,58.339,5948.0,07032022,W4C1,segment1,day4-h1,rMS,W4C1-segment1,4.6,1.4959868707849322,55.171
21,22,MAX_W4C1-63xz-day4-1h-post.tif,1.442,83.918,8556.0,07032022,W4C1,segment1,day4-h1,rMS,W4C1-segment1,4.6,0.690836646826867,55.171
22,23,MAX_W4C1-63xz-day4-1h-post.tif,1.03,147.945,15084.0,07032022,W4C1,segment1,day4-h1,rMS,W4C1-segment1,4.6,1.5344763208662642,55.171
23,24,MAX_W4C1-63xz-day4-1h-post.tif,0.834,78.053,7958.0,07032022,W4C1,segment1,day4-h1,rMS,W4C1-segment1,4.6,1.4800144108612385,55.171
24,25,MAX_W4C1-63xz-day4-1h-post.tif,0.598,55.014,5609.0,07032022,W4C1,segment1,day4-h1,rMS,W4C1-segment1,4.6,0.8897622513343038,55.171
25,26,MAX_W4C1-63xz-day4-1h-post.tif,2.56,318.842,32508.0,07032022,W4C1,segment1,day4-h1,rMS,W4C1-segment1,4.6,0.6666806062899762,55.171
26,27,MAX_W4C1-63xz-day4-1h-post.tif,0.942,149.201,15212.0,07032022,W4C1,segment1,day4-h1,rMS,W4C1-segment1,4.6,0.8048691017569981,55.171
27,28,MAX_W4C1-63xz-day4-1h-post.tif,0.569,59.888,6106.0,07032022,W4C1,segment1,day4-h1,rMS,W4C1-segment1,4.6,0.7509467084639498,55.171
28,29,MAX_W4C1-63xz-day4-1h-post.tif,1.383,199.232,20313.0,07032022,W4C1,segment1,day4-h1,rMS,W4C1-segment1,4.6,1.0275729036650403,55.171
29,30,MAX_W4C1-63xz-day4-1h-post.tif,1.432,42.008,4283.0,07032022,W4C1,segment1,day4-h1,rMS,W4C1-segment1,4.6,1.5401085203108962,55.171
0,1,MAX_W4C1-63xz-day4-2h-post.tif,1.304,192.935,19671.0,07032022,W4C1,segment1,day4-h2,rMS,W4C1-segment1,5.1,3.2396104441272775,192.935
1,2,MAX_W4C1-63xz-day4-2h-post.tif,0.539,37.879,3862.0,07032022,W4C1,segment1,day4-h2,rMS,W4C1-segment1,5.1,1.5699187665782492,192.935
2,3,MAX_W4C1-63xz-day4-2h-post.tif,0.932,113.588,11581.0,07032022,W4C1,segment1,day4-h2,rMS,W4C1-segment1,5.1,2.556503342261034,192.935
3,4,MAX_W4C1-63xz-day4-2h-post.tif,1.334,163.383,16658.0,07032022,W4C1,segment1,day4-h2,rMS,W4C1-segment1,5.1,1.2128138129667296,192.935
4,5,MAX_W4C1-63xz-day4-2h-post.tif,0.745,76.405,7790.0,07032022,W4C1,segment1,day4-h2,rMS,W4C1-segment1,5.1,0.6909102418027598,192.935
5,6,MAX_W4C1-63xz-day4-2h-post.tif,0.755,81.486,8308.0,07032022,W4C1,segment1,day4-h2,rMS,W4C1-segment1,5.1,0.9428085480567865,192.935
6,7,MAX_W4C1-63xz-day4-2h-post.tif,2.011,203.018,20699.0,07032022,W4C1,segment1,day4-h2,rMS,W4C1-segment1,5.1,0.9752650516172112,192.935
7,8,MAX_W4C1-63xz-day4-2h-post.tif,1.128,150.162,15310.0,07032022,W4C1,segment1,day4-h2,rMS,W4C1-segment1,5.1,0.4338713312414403,192.935
8,9,MAX_W4C1-63xz-day4-2h-post.tif,0.667,72.315,7373.0,07032022,W4C1,segment1,day4-h2,rMS,W4C1-segment1,5.1,1.427204010341629,192.935
9,10,MAX_W4C1-63xz-day4-2h-post.tif,0.628,30.15,3074.0,07032022,W4C1,segment1,day4-h2,rMS,W4C1-segment1,5.1,0.9543555330463408,192.935
10,11,MAX_W4C1-63xz-day4-2h-post.tif,0.432,17.9,1825.0,07032022,W4C1,segment1,day4-h2,rMS,W4C1-segment1,5.1,0.6332472494428132,192.935
11,12,MAX_W4C1-63xz-day4-2h-post.tif,1.148,116.648,11893.0,07032022,W4C1,segment1,day4-h2,rMS,W4C1-segment1,5.1,2.32422092930581,192.935
