 ,Label,Area,region,group_ID,culture_ID,group,count,batch_name,norm_count_by_sham
1,middle_ch02-EC-raw.tif,0.005,EC,1,4,sham,111,2911,0.7681660899653979
1,middle_ch02-EC-raw.tif,0.004,EC,2,1,rMS,352,2911,2.43598615916955
1,middle_ch02-EC-raw.tif,0.004,EC,2,2,rMS,387,2911,2.6782006920415227
1,middle_ch02-EC-raw.tif,0.004,EC,2,3,rMS,197,2911,1.3633217993079585
1,middle_ch02-EC-raw.tif,0.006,EC,2,4,rMS,403,2911,2.7889273356401385
4,middle_ch02-EC-raw.tif,0.004,EC,6,1,sham-24h,173,2911,1.3410852713178294
1,middle_ch02-EC-raw.tif,0.004,EC,6,2,sham-24h,152,2911,1.178294573643411
1,middle_ch02-EC-raw.tif,0.006,EC,6,3,sham-24h,145,2911,1.124031007751938
1,middle_ch02-EC-raw.tif,0.004,EC,6,4,sham-24h,46,2911,0.35658914728682173
3,middle_ch02-EC-raw.tif,0.004,EC,7,1,24h,135,2911,1.0465116279069768
1,middle_ch02-EC-raw.tif,0.004,EC,7,2,24h,170,2911,1.317829457364341
4,middle_ch02-EC-raw.tif,0.006,EC,7,3,24h,290,2911,2.248062015503876
1,middle_ch02-EC-raw.tif,0.004,EC,7,4,24h,306,2911,2.372093023255814
