,Peak_Amplitude_[pA],group,cell_ID,extras_path
265035,-23.0990829467773,stimulated,C3_Cell16,stimulated\C3_Cell16.xlsx
265036,-33.8867225646972,stimulated,C3_Cell16,stimulated\C3_Cell16.xlsx
265037,-19.2377109527587,stimulated,C3_Cell16,stimulated\C3_Cell16.xlsx
265038,-44.3567428588867,stimulated,C3_Cell16,stimulated\C3_Cell16.xlsx
265039,-21.8887271881103,stimulated,C3_Cell16,stimulated\C3_Cell16.xlsx
265040,-24.4518909454345,stimulated,C3_Cell16,stimulated\C3_Cell16.xlsx
265041,-34.0041542053222,stimulated,C3_Cell16,stimulated\C3_Cell16.xlsx
265042,-36.5572052001953,stimulated,C3_Cell16,stimulated\C3_Cell16.xlsx
265043,-48.0488357543945,stimulated,C3_Cell16,stimulated\C3_Cell16.xlsx
265044,-26.1589794158935,stimulated,C3_Cell16,stimulated\C3_Cell16.xlsx
265045,-31.8150978088378,stimulated,C3_Cell16,stimulated\C3_Cell16.xlsx
265046,-31.7379570007324,stimulated,C3_Cell16,stimulated\C3_Cell16.xlsx
265047,-31.2176666259765,stimulated,C3_Cell16,stimulated\C3_Cell16.xlsx
265048,-23.8447437286376,stimulated,C3_Cell16,stimulated\C3_Cell16.xlsx
265049,-29.2152099609375,stimulated,C3_Cell16,stimulated\C3_Cell16.xlsx
265050,-37.1296234130859,stimulated,C3_Cell16,stimulated\C3_Cell16.xlsx
265051,-24.0261535644531,stimulated,C3_Cell16,stimulated\C3_Cell16.xlsx
265052,-26.4637966156005,stimulated,C3_Cell16,stimulated\C3_Cell16.xlsx
265053,-26.9810256958007,stimulated,C3_Cell16,stimulated\C3_Cell16.xlsx
265054,-36.1999168395996,stimulated,C3_Cell16,stimulated\C3_Cell16.xlsx
265055,-22.4465961456298,stimulated,C3_Cell16,stimulated\C3_Cell16.xlsx
265056,-38.3814086914062,stimulated,C3_Cell16,stimulated\C3_Cell16.xlsx
265057,-22.0942726135253,stimulated,C3_Cell16,stimulated\C3_Cell16.xlsx
265058,-17.0379219055175,stimulated,C3_Cell16,stimulated\C3_Cell16.xlsx
265059,-18.5514755249023,stimulated,C3_Cell16,stimulated\C3_Cell16.xlsx
265060,-28.5349216461181,stimulated,C3_Cell16,stimulated\C3_Cell16.xlsx
265061,-20.9448127746582,stimulated,C3_Cell16,stimulated\C3_Cell16.xlsx
265062,-21.8893489837646,stimulated,C3_Cell16,stimulated\C3_Cell16.xlsx
265063,-19.7038688659667,stimulated,C3_Cell16,stimulated\C3_Cell16.xlsx
265064,-31.8532390594482,stimulated,C3_Cell16,stimulated\C3_Cell16.xlsx
265065,-17.0716075897216,stimulated,C3_Cell16,stimulated\C3_Cell16.xlsx
265066,-25.0827484130859,stimulated,C3_Cell16,stimulated\C3_Cell16.xlsx
265067,-35.9402389526367,stimulated,C3_Cell16,stimulated\C3_Cell16.xlsx
265068,-31.9628276824951,stimulated,C3_Cell16,stimulated\C3_Cell16.xlsx
265069,-26.6921596527099,stimulated,C3_Cell16,stimulated\C3_Cell16.xlsx
265070,-18.064151763916,stimulated,C3_Cell16,stimulated\C3_Cell16.xlsx
265072,-15.8890075683593,stimulated,C3_Cell16,stimulated\C3_Cell16.xlsx
265074,-18.8369617462158,stimulated,C3_Cell16,stimulated\C3_Cell16.xlsx
265075,-49.3221054077148,stimulated,C3_Cell16,stimulated\C3_Cell16.xlsx
265076,-19.3834285736083,stimulated,C3_Cell16,stimulated\C3_Cell16.xlsx
265077,-29.3130130767822,stimulated,C3_Cell16,stimulated\C3_Cell16.xlsx
265078,-17.7492980957031,stimulated,C3_Cell16,stimulated\C3_Cell16.xlsx
265080,-18.9024600982666,stimulated,C3_Cell16,stimulated\C3_Cell16.xlsx
265081,-54.5849914550781,stimulated,C3_Cell16,stimulated\C3_Cell16.xlsx
265082,-27.475715637207,stimulated,C3_Cell16,stimulated\C3_Cell16.xlsx
265083,-16.5961112976074,stimulated,C3_Cell16,stimulated\C3_Cell16.xlsx
265084,-21.7726421356201,stimulated,C3_Cell16,stimulated\C3_Cell16.xlsx
265085,-30.4422092437744,stimulated,C3_Cell16,stimulated\C3_Cell16.xlsx
265086,-21.2260055541992,stimulated,C3_Cell16,stimulated\C3_Cell16.xlsx
265087,-18.7603530883789,stimulated,C3_Cell16,stimulated\C3_Cell16.xlsx
265088,-29.8141078948974,stimulated,C3_Cell16,stimulated\C3_Cell16.xlsx
265089,-27.305320739746,stimulated,C3_Cell16,stimulated\C3_Cell16.xlsx
265090,-24.038719177246,stimulated,C3_Cell16,stimulated\C3_Cell16.xlsx
265091,-24.4244480133056,stimulated,C3_Cell16,stimulated\C3_Cell16.xlsx
265092,-20.5847358703613,stimulated,C3_Cell16,stimulated\C3_Cell16.xlsx
265093,-19.4570713043212,stimulated,C3_Cell16,stimulated\C3_Cell16.xlsx
265094,-45.5574302673339,stimulated,C3_Cell16,stimulated\C3_Cell16.xlsx
265095,-35.2610893249511,stimulated,C3_Cell16,stimulated\C3_Cell16.xlsx
265096,-23.3916358947753,stimulated,C3_Cell16,stimulated\C3_Cell16.xlsx
265097,-31.5497150421142,stimulated,C3_Cell16,stimulated\C3_Cell16.xlsx
265098,-20.902940750122,stimulated,C3_Cell16,stimulated\C3_Cell16.xlsx
265099,-25.8573741912841,stimulated,C3_Cell16,stimulated\C3_Cell16.xlsx
265100,-29.392629623413,stimulated,C3_Cell16,stimulated\C3_Cell16.xlsx
265101,-27.0432834625244,stimulated,C3_Cell16,stimulated\C3_Cell16.xlsx
270000,-19.8762092590332,stimulated,C3_Cell17,stimulated\C3_Cell17.xlsx
270001,-25.4087696075439,stimulated,C3_Cell17,stimulated\C3_Cell17.xlsx
270002,-23.8851909637451,stimulated,C3_Cell17,stimulated\C3_Cell17.xlsx
270003,-20.1894493103027,stimulated,C3_Cell17,stimulated\C3_Cell17.xlsx
270004,-25.9857711791992,stimulated,C3_Cell17,stimulated\C3_Cell17.xlsx
270005,-25.6362171173095,stimulated,C3_Cell17,stimulated\C3_Cell17.xlsx
270006,-20.6789531707763,stimulated,C3_Cell17,stimulated\C3_Cell17.xlsx
270007,-15.8643102645874,stimulated,C3_Cell17,stimulated\C3_Cell17.xlsx
270008,-18.4711971282958,stimulated,C3_Cell17,stimulated\C3_Cell17.xlsx
270009,-31.6869621276855,stimulated,C3_Cell17,stimulated\C3_Cell17.xlsx
270010,-19.2445640563964,stimulated,C3_Cell17,stimulated\C3_Cell17.xlsx
270011,-18.7088012695312,stimulated,C3_Cell17,stimulated\C3_Cell17.xlsx
270012,-20.6240406036376,stimulated,C3_Cell17,stimulated\C3_Cell17.xlsx
270013,-19.2408924102783,stimulated,C3_Cell17,stimulated\C3_Cell17.xlsx
270014,-13.6196365356445,stimulated,C3_Cell17,stimulated\C3_Cell17.xlsx
270015,-19.0785827636718,stimulated,C3_Cell17,stimulated\C3_Cell17.xlsx
270016,-19.4904994964599,stimulated,C3_Cell17,stimulated\C3_Cell17.xlsx
270017,-30.1613445281982,stimulated,C3_Cell17,stimulated\C3_Cell17.xlsx
270018,-18.8975925445556,stimulated,C3_Cell17,stimulated\C3_Cell17.xlsx
270019,-18.4273872375488,stimulated,C3_Cell17,stimulated\C3_Cell17.xlsx
270020,-88.1271133422851,stimulated,C3_Cell17,stimulated\C3_Cell17.xlsx
270021,-14.1363830566406,stimulated,C3_Cell17,stimulated\C3_Cell17.xlsx
270022,-16.8853206634521,stimulated,C3_Cell17,stimulated\C3_Cell17.xlsx
270023,-17.3147659301757,stimulated,C3_Cell17,stimulated\C3_Cell17.xlsx
270024,-15.4360427856445,stimulated,C3_Cell17,stimulated\C3_Cell17.xlsx
270025,-29.8834209442138,stimulated,C3_Cell17,stimulated\C3_Cell17.xlsx
270026,-14.6713104248046,stimulated,C3_Cell17,stimulated\C3_Cell17.xlsx
270027,-19.7441101074218,stimulated,C3_Cell17,stimulated\C3_Cell17.xlsx
270030,-45.5243377685546,stimulated,C3_Cell17,stimulated\C3_Cell17.xlsx
270031,-14.8108110427856,stimulated,C3_Cell17,stimulated\C3_Cell17.xlsx
270032,-14.4877595901489,stimulated,C3_Cell17,stimulated\C3_Cell17.xlsx
270033,-26.7814979553222,stimulated,C3_Cell17,stimulated\C3_Cell17.xlsx
270034,-13.970890045166,stimulated,C3_Cell17,stimulated\C3_Cell17.xlsx
270035,-17.6927852630615,stimulated,C3_Cell17,stimulated\C3_Cell17.xlsx
270036,-22.251724243164,stimulated,C3_Cell17,stimulated\C3_Cell17.xlsx
270037,-16.8569087982177,stimulated,C3_Cell17,stimulated\C3_Cell17.xlsx
270038,-14.3207740783691,stimulated,C3_Cell17,stimulated\C3_Cell17.xlsx
270039,-14.7385654449462,stimulated,C3_Cell17,stimulated\C3_Cell17.xlsx
270041,-23.8781204223632,stimulated,C3_Cell17,stimulated\C3_Cell17.xlsx
270042,-35.438377380371,stimulated,C3_Cell17,stimulated\C3_Cell17.xlsx
270043,-13.057858467102,stimulated,C3_Cell17,stimulated\C3_Cell17.xlsx
270044,-17.8586692810058,stimulated,C3_Cell17,stimulated\C3_Cell17.xlsx
270045,-16.6106395721435,stimulated,C3_Cell17,stimulated\C3_Cell17.xlsx
270046,-27.5929012298583,stimulated,C3_Cell17,stimulated\C3_Cell17.xlsx
270047,-22.847276687622,stimulated,C3_Cell17,stimulated\C3_Cell17.xlsx
270049,-21.1845684051513,stimulated,C3_Cell17,stimulated\C3_Cell17.xlsx
270050,-45.5131759643554,stimulated,C3_Cell17,stimulated\C3_Cell17.xlsx
270051,-17.1310844421386,stimulated,C3_Cell17,stimulated\C3_Cell17.xlsx
270052,-24.3939476013183,stimulated,C3_Cell17,stimulated\C3_Cell17.xlsx
270053,-25.9266605377197,stimulated,C3_Cell17,stimulated\C3_Cell17.xlsx
270054,-37.8077507019042,stimulated,C3_Cell17,stimulated\C3_Cell17.xlsx
270055,-23.8837738037109,stimulated,C3_Cell17,stimulated\C3_Cell17.xlsx
270056,-18.3916053771972,stimulated,C3_Cell17,stimulated\C3_Cell17.xlsx
270057,-38.2000160217285,stimulated,C3_Cell17,stimulated\C3_Cell17.xlsx
270058,-27.6262683868408,stimulated,C3_Cell17,stimulated\C3_Cell17.xlsx
270059,-17.4581775665283,stimulated,C3_Cell17,stimulated\C3_Cell17.xlsx
270060,-24.3125209808349,stimulated,C3_Cell17,stimulated\C3_Cell17.xlsx
270061,-32.9665451049804,stimulated,C3_Cell17,stimulated\C3_Cell17.xlsx
270062,-26.8855552673339,stimulated,C3_Cell17,stimulated\C3_Cell17.xlsx
270063,-31.9961242675781,stimulated,C3_Cell17,stimulated\C3_Cell17.xlsx
270064,-20.3528881072998,stimulated,C3_Cell17,stimulated\C3_Cell17.xlsx
270065,-26.004732131958,stimulated,C3_Cell17,stimulated\C3_Cell17.xlsx
270066,-19.855016708374,stimulated,C3_Cell17,stimulated\C3_Cell17.xlsx
270067,-28.8729228973388,stimulated,C3_Cell17,stimulated\C3_Cell17.xlsx
270068,-19.7494812011718,stimulated,C3_Cell17,stimulated\C3_Cell17.xlsx
270069,-14.9164867401123,stimulated,C3_Cell17,stimulated\C3_Cell17.xlsx
270070,-41.9720306396484,stimulated,C3_Cell17,stimulated\C3_Cell17.xlsx
270071,-24.2553558349609,stimulated,C3_Cell17,stimulated\C3_Cell17.xlsx
270072,-25.1821231842041,stimulated,C3_Cell17,stimulated\C3_Cell17.xlsx
270073,-17.0981101989746,stimulated,C3_Cell17,stimulated\C3_Cell17.xlsx
275000,-17.32857131958,stimulated,C3_Cell18,stimulated\C3_Cell18.xlsx
275001,-44.7736511230468,stimulated,C3_Cell18,stimulated\C3_Cell18.xlsx
275002,-21.6332874298095,stimulated,C3_Cell18,stimulated\C3_Cell18.xlsx
275003,-72.6514205932617,stimulated,C3_Cell18,stimulated\C3_Cell18.xlsx
275004,-18.5678672790527,stimulated,C3_Cell18,stimulated\C3_Cell18.xlsx
275005,-16.2521266937255,stimulated,C3_Cell18,stimulated\C3_Cell18.xlsx
275006,-19.1705570220947,stimulated,C3_Cell18,stimulated\C3_Cell18.xlsx
275007,-30.0420227050781,stimulated,C3_Cell18,stimulated\C3_Cell18.xlsx
275008,-20.0832862854003,stimulated,C3_Cell18,stimulated\C3_Cell18.xlsx
275009,-75.5980834960937,stimulated,C3_Cell18,stimulated\C3_Cell18.xlsx
275010,-21.7926750183105,stimulated,C3_Cell18,stimulated\C3_Cell18.xlsx
275011,-18.6186828613281,stimulated,C3_Cell18,stimulated\C3_Cell18.xlsx
275012,-16.4803104400634,stimulated,C3_Cell18,stimulated\C3_Cell18.xlsx
275013,-19.264455795288,stimulated,C3_Cell18,stimulated\C3_Cell18.xlsx
275014,-25.8447132110595,stimulated,C3_Cell18,stimulated\C3_Cell18.xlsx
275015,-38.1103515625,stimulated,C3_Cell18,stimulated\C3_Cell18.xlsx
275016,-26.7565937042236,stimulated,C3_Cell18,stimulated\C3_Cell18.xlsx
275017,-24.9170608520507,stimulated,C3_Cell18,stimulated\C3_Cell18.xlsx
275018,-25.0024642944335,stimulated,C3_Cell18,stimulated\C3_Cell18.xlsx
275019,-43.8677940368652,stimulated,C3_Cell18,stimulated\C3_Cell18.xlsx
275020,-23.0638313293457,stimulated,C3_Cell18,stimulated\C3_Cell18.xlsx
275021,-17.7234497070312,stimulated,C3_Cell18,stimulated\C3_Cell18.xlsx
275022,-18.9505882263183,stimulated,C3_Cell18,stimulated\C3_Cell18.xlsx
275024,-17.1948738098144,stimulated,C3_Cell18,stimulated\C3_Cell18.xlsx
275025,-46.914867401123,stimulated,C3_Cell18,stimulated\C3_Cell18.xlsx
275026,-18.1732807159423,stimulated,C3_Cell18,stimulated\C3_Cell18.xlsx
275027,-21.3507747650146,stimulated,C3_Cell18,stimulated\C3_Cell18.xlsx
275028,-35.7552108764648,stimulated,C3_Cell18,stimulated\C3_Cell18.xlsx
275029,-17.5219326019287,stimulated,C3_Cell18,stimulated\C3_Cell18.xlsx
275030,-19.2273941040039,stimulated,C3_Cell18,stimulated\C3_Cell18.xlsx
275031,-14.9318761825561,stimulated,C3_Cell18,stimulated\C3_Cell18.xlsx
275032,-17.2351703643798,stimulated,C3_Cell18,stimulated\C3_Cell18.xlsx
275033,-16.0107250213623,stimulated,C3_Cell18,stimulated\C3_Cell18.xlsx
275034,-22.016315460205,stimulated,C3_Cell18,stimulated\C3_Cell18.xlsx
275037,-26.2353858947753,stimulated,C3_Cell18,stimulated\C3_Cell18.xlsx
275038,-20.4931411743164,stimulated,C3_Cell18,stimulated\C3_Cell18.xlsx
275041,-16.1590709686279,stimulated,C3_Cell18,stimulated\C3_Cell18.xlsx
275043,-24.1873226165771,stimulated,C3_Cell18,stimulated\C3_Cell18.xlsx
275044,-19.8089714050292,stimulated,C3_Cell18,stimulated\C3_Cell18.xlsx
275045,-16.5437488555908,stimulated,C3_Cell18,stimulated\C3_Cell18.xlsx
275046,-17.3636665344238,stimulated,C3_Cell18,stimulated\C3_Cell18.xlsx
275047,-16.2345352172851,stimulated,C3_Cell18,stimulated\C3_Cell18.xlsx
275048,-17.5696430206298,stimulated,C3_Cell18,stimulated\C3_Cell18.xlsx
275050,-26.7872676849365,stimulated,C3_Cell18,stimulated\C3_Cell18.xlsx
275051,-21.0617847442626,stimulated,C3_Cell18,stimulated\C3_Cell18.xlsx
275052,-33.1096878051757,stimulated,C3_Cell18,stimulated\C3_Cell18.xlsx
275053,-16.1297340393066,stimulated,C3_Cell18,stimulated\C3_Cell18.xlsx
275054,-20.7533588409423,stimulated,C3_Cell18,stimulated\C3_Cell18.xlsx
275055,-34.0235710144042,stimulated,C3_Cell18,stimulated\C3_Cell18.xlsx
275056,-21.5696201324462,stimulated,C3_Cell18,stimulated\C3_Cell18.xlsx
275057,-22.211368560791,stimulated,C3_Cell18,stimulated\C3_Cell18.xlsx
275058,-17.2630348205566,stimulated,C3_Cell18,stimulated\C3_Cell18.xlsx
275059,-23.3140964508056,stimulated,C3_Cell18,stimulated\C3_Cell18.xlsx
275060,-20.7759418487548,stimulated,C3_Cell18,stimulated\C3_Cell18.xlsx
275061,-44.7044792175292,stimulated,C3_Cell18,stimulated\C3_Cell18.xlsx
275062,-43.5481376647949,stimulated,C3_Cell18,stimulated\C3_Cell18.xlsx
275063,-31.0244617462158,stimulated,C3_Cell18,stimulated\C3_Cell18.xlsx
275064,-17.3471355438232,stimulated,C3_Cell18,stimulated\C3_Cell18.xlsx
275065,-27.5536556243896,stimulated,C3_Cell18,stimulated\C3_Cell18.xlsx
275066,-17.3274345397949,stimulated,C3_Cell18,stimulated\C3_Cell18.xlsx
275067,-19.7556495666503,stimulated,C3_Cell18,stimulated\C3_Cell18.xlsx
275068,-35.3888664245605,stimulated,C3_Cell18,stimulated\C3_Cell18.xlsx
275069,-19.9396800994873,stimulated,C3_Cell18,stimulated\C3_Cell18.xlsx
275070,-13.2219772338867,stimulated,C3_Cell18,stimulated\C3_Cell18.xlsx
275071,-17.759666442871,stimulated,C3_Cell18,stimulated\C3_Cell18.xlsx
275072,-20.1657238006591,stimulated,C3_Cell18,stimulated\C3_Cell18.xlsx
275073,-92.2566223144531,stimulated,C3_Cell18,stimulated\C3_Cell18.xlsx
275074,-18.8100414276123,stimulated,C3_Cell18,stimulated\C3_Cell18.xlsx
275076,-22.4242515563964,stimulated,C3_Cell18,stimulated\C3_Cell18.xlsx
275077,-18.7225151062011,stimulated,C3_Cell18,stimulated\C3_Cell18.xlsx
275078,-22.4485073089599,stimulated,C3_Cell18,stimulated\C3_Cell18.xlsx
275079,-17.3526287078857,stimulated,C3_Cell18,stimulated\C3_Cell18.xlsx
275080,-21.6919593811035,stimulated,C3_Cell18,stimulated\C3_Cell18.xlsx
275081,-20.4588661193847,stimulated,C3_Cell18,stimulated\C3_Cell18.xlsx
275082,-16.5472526550292,stimulated,C3_Cell18,stimulated\C3_Cell18.xlsx
275083,-15.564522743225,stimulated,C3_Cell18,stimulated\C3_Cell18.xlsx
275084,-22.6667499542236,stimulated,C3_Cell18,stimulated\C3_Cell18.xlsx
275085,-18.6797771453857,stimulated,C3_Cell18,stimulated\C3_Cell18.xlsx
275087,-24.1094055175781,stimulated,C3_Cell18,stimulated\C3_Cell18.xlsx
275088,-16.6190586090087,stimulated,C3_Cell18,stimulated\C3_Cell18.xlsx
275089,-20.4402179718017,stimulated,C3_Cell18,stimulated\C3_Cell18.xlsx
275090,-23.5476379394531,stimulated,C3_Cell18,stimulated\C3_Cell18.xlsx
275091,-18.5383434295654,stimulated,C3_Cell18,stimulated\C3_Cell18.xlsx
275092,-22.5270156860351,stimulated,C3_Cell18,stimulated\C3_Cell18.xlsx
275093,-18.1573486328125,stimulated,C3_Cell18,stimulated\C3_Cell18.xlsx
275094,-18.4642086029052,stimulated,C3_Cell18,stimulated\C3_Cell18.xlsx
275095,-21.788122177124,stimulated,C3_Cell18,stimulated\C3_Cell18.xlsx
275096,-26.7687454223632,stimulated,C3_Cell18,stimulated\C3_Cell18.xlsx
275097,-25.5361175537109,stimulated,C3_Cell18,stimulated\C3_Cell18.xlsx
275098,-16.1494407653808,stimulated,C3_Cell18,stimulated\C3_Cell18.xlsx
275099,-19.4895439147949,stimulated,C3_Cell18,stimulated\C3_Cell18.xlsx
275100,-17.8151359558105,stimulated,C3_Cell18,stimulated\C3_Cell18.xlsx
275101,-18.7988967895507,stimulated,C3_Cell18,stimulated\C3_Cell18.xlsx
275102,-24.2577533721923,stimulated,C3_Cell18,stimulated\C3_Cell18.xlsx
275103,-18.0672645568847,stimulated,C3_Cell18,stimulated\C3_Cell18.xlsx
275104,-17.0278282165527,stimulated,C3_Cell18,stimulated\C3_Cell18.xlsx
275105,-18.7813453674316,stimulated,C3_Cell18,stimulated\C3_Cell18.xlsx
275106,-16.0304660797119,stimulated,C3_Cell18,stimulated\C3_Cell18.xlsx
275107,-30.3250522613525,stimulated,C3_Cell18,stimulated\C3_Cell18.xlsx
275108,-20.8994464874267,stimulated,C3_Cell18,stimulated\C3_Cell18.xlsx
275109,-19.0607872009277,stimulated,C3_Cell18,stimulated\C3_Cell18.xlsx
275110,-31.9078731536865,stimulated,C3_Cell18,stimulated\C3_Cell18.xlsx
275111,-16.9325809478759,stimulated,C3_Cell18,stimulated\C3_Cell18.xlsx
275112,-22.3924026489257,stimulated,C3_Cell18,stimulated\C3_Cell18.xlsx
275113,-17.4527759552001,stimulated,C3_Cell18,stimulated\C3_Cell18.xlsx
275114,-20.6098804473876,stimulated,C3_Cell18,stimulated\C3_Cell18.xlsx
275115,-22.1240997314453,stimulated,C3_Cell18,stimulated\C3_Cell18.xlsx
275116,-18.8120689392089,stimulated,C3_Cell18,stimulated\C3_Cell18.xlsx
275117,-57.6197166442871,stimulated,C3_Cell18,stimulated\C3_Cell18.xlsx
275118,-64.5683898925781,stimulated,C3_Cell18,stimulated\C3_Cell18.xlsx
275119,-15.8207378387451,stimulated,C3_Cell18,stimulated\C3_Cell18.xlsx
275120,-21.0047206878662,stimulated,C3_Cell18,stimulated\C3_Cell18.xlsx
275121,-17.2319717407226,stimulated,C3_Cell18,stimulated\C3_Cell18.xlsx
275122,-17.2894973754882,stimulated,C3_Cell18,stimulated\C3_Cell18.xlsx
275124,-22.9577007293701,stimulated,C3_Cell18,stimulated\C3_Cell18.xlsx
275125,-18.0888080596923,stimulated,C3_Cell18,stimulated\C3_Cell18.xlsx
275126,-26.523811340332,stimulated,C3_Cell18,stimulated\C3_Cell18.xlsx
275127,-16.4600105285644,stimulated,C3_Cell18,stimulated\C3_Cell18.xlsx
275129,-14.4484939575195,stimulated,C3_Cell18,stimulated\C3_Cell18.xlsx
275130,-24.2698650360107,stimulated,C3_Cell18,stimulated\C3_Cell18.xlsx
275131,-19.8980293273925,stimulated,C3_Cell18,stimulated\C3_Cell18.xlsx
275132,-15.2876214981079,stimulated,C3_Cell18,stimulated\C3_Cell18.xlsx
275134,-17.3194561004638,stimulated,C3_Cell18,stimulated\C3_Cell18.xlsx
275137,-18.6745719909667,stimulated,C3_Cell18,stimulated\C3_Cell18.xlsx
275138,-18.1041355133056,stimulated,C3_Cell18,stimulated\C3_Cell18.xlsx
275139,-31.9489860534667,stimulated,C3_Cell18,stimulated\C3_Cell18.xlsx
275140,-18.235610961914,stimulated,C3_Cell18,stimulated\C3_Cell18.xlsx
275141,-17.2313022613525,stimulated,C3_Cell18,stimulated\C3_Cell18.xlsx
275143,-19.5857906341552,stimulated,C3_Cell18,stimulated\C3_Cell18.xlsx
275144,-19.5103168487548,stimulated,C3_Cell18,stimulated\C3_Cell18.xlsx
275145,-21.3804759979248,stimulated,C3_Cell18,stimulated\C3_Cell18.xlsx
275146,-20.2319049835205,stimulated,C3_Cell18,stimulated\C3_Cell18.xlsx
275147,-20.8419227600097,stimulated,C3_Cell18,stimulated\C3_Cell18.xlsx
275148,-18.1876373291015,stimulated,C3_Cell18,stimulated\C3_Cell18.xlsx
275149,-17.3702373504638,stimulated,C3_Cell18,stimulated\C3_Cell18.xlsx
275150,-17.3646907806396,stimulated,C3_Cell18,stimulated\C3_Cell18.xlsx
275151,-26.3869934082031,stimulated,C3_Cell18,stimulated\C3_Cell18.xlsx
275152,-22.208044052124,stimulated,C3_Cell18,stimulated\C3_Cell18.xlsx
275153,-19.2516422271728,stimulated,C3_Cell18,stimulated\C3_Cell18.xlsx
275154,-16.5918178558349,stimulated,C3_Cell18,stimulated\C3_Cell18.xlsx
275155,-20.3168010711669,stimulated,C3_Cell18,stimulated\C3_Cell18.xlsx
275157,-36.055549621582,stimulated,C3_Cell18,stimulated\C3_Cell18.xlsx
275158,-18.9403610229492,stimulated,C3_Cell18,stimulated\C3_Cell18.xlsx
275159,-17.7878055572509,stimulated,C3_Cell18,stimulated\C3_Cell18.xlsx
275160,-21.7327499389648,stimulated,C3_Cell18,stimulated\C3_Cell18.xlsx
275161,-15.654465675354,stimulated,C3_Cell18,stimulated\C3_Cell18.xlsx
275162,-25.7968864440917,stimulated,C3_Cell18,stimulated\C3_Cell18.xlsx
275163,-20.8986568450927,stimulated,C3_Cell18,stimulated\C3_Cell18.xlsx
275164,-20.0654830932617,stimulated,C3_Cell18,stimulated\C3_Cell18.xlsx
275165,-24.9925231933593,stimulated,C3_Cell18,stimulated\C3_Cell18.xlsx
275166,-21.9487380981445,stimulated,C3_Cell18,stimulated\C3_Cell18.xlsx
275167,-22.3901672363281,stimulated,C3_Cell18,stimulated\C3_Cell18.xlsx
275168,-20.2999153137207,stimulated,C3_Cell18,stimulated\C3_Cell18.xlsx
275169,-30.7746200561523,stimulated,C3_Cell18,stimulated\C3_Cell18.xlsx
275170,-15.6191349029541,stimulated,C3_Cell18,stimulated\C3_Cell18.xlsx
275171,-16.059268951416,stimulated,C3_Cell18,stimulated\C3_Cell18.xlsx
275172,-15.1995382308959,stimulated,C3_Cell18,stimulated\C3_Cell18.xlsx
275173,-16.9137363433837,stimulated,C3_Cell18,stimulated\C3_Cell18.xlsx
275174,-19.3909702301025,stimulated,C3_Cell18,stimulated\C3_Cell18.xlsx
275175,-20.6891326904296,stimulated,C3_Cell18,stimulated\C3_Cell18.xlsx
275176,-18.4020328521728,stimulated,C3_Cell18,stimulated\C3_Cell18.xlsx
275177,-15.8541011810302,stimulated,C3_Cell18,stimulated\C3_Cell18.xlsx
275178,-23.3919620513916,stimulated,C3_Cell18,stimulated\C3_Cell18.xlsx
275179,-18.4818286895751,stimulated,C3_Cell18,stimulated\C3_Cell18.xlsx
275180,-15.7085390090942,stimulated,C3_Cell18,stimulated\C3_Cell18.xlsx
275181,-19.9675674438476,stimulated,C3_Cell18,stimulated\C3_Cell18.xlsx
275182,-19.381534576416,stimulated,C3_Cell18,stimulated\C3_Cell18.xlsx
275183,-24.5411357879638,stimulated,C3_Cell18,stimulated\C3_Cell18.xlsx
275184,-20.7872352600097,stimulated,C3_Cell18,stimulated\C3_Cell18.xlsx
275185,-19.608169555664,stimulated,C3_Cell18,stimulated\C3_Cell18.xlsx
275186,-27.582197189331,stimulated,C3_Cell18,stimulated\C3_Cell18.xlsx
275187,-19.8715667724609,stimulated,C3_Cell18,stimulated\C3_Cell18.xlsx
275190,-19.0618820190429,stimulated,C3_Cell18,stimulated\C3_Cell18.xlsx
275191,-21.9586315155029,stimulated,C3_Cell18,stimulated\C3_Cell18.xlsx
275192,-23.7119998931884,stimulated,C3_Cell18,stimulated\C3_Cell18.xlsx
275193,-19.7438869476318,stimulated,C3_Cell18,stimulated\C3_Cell18.xlsx
275198,-23.8503074645996,stimulated,C3_Cell18,stimulated\C3_Cell18.xlsx
275199,-20.1758632659912,stimulated,C3_Cell18,stimulated\C3_Cell18.xlsx
275200,-22.8532600402832,stimulated,C3_Cell18,stimulated\C3_Cell18.xlsx
275201,-20.3343029022216,stimulated,C3_Cell18,stimulated\C3_Cell18.xlsx
275202,-16.0334949493408,stimulated,C3_Cell18,stimulated\C3_Cell18.xlsx
275203,-22.2310466766357,stimulated,C3_Cell18,stimulated\C3_Cell18.xlsx
275204,-25.8868350982666,stimulated,C3_Cell18,stimulated\C3_Cell18.xlsx
275205,-16.9840660095214,stimulated,C3_Cell18,stimulated\C3_Cell18.xlsx
275206,-19.3632850646972,stimulated,C3_Cell18,stimulated\C3_Cell18.xlsx
275207,-17.8266639709472,stimulated,C3_Cell18,stimulated\C3_Cell18.xlsx
275208,-28.5878238677978,stimulated,C3_Cell18,stimulated\C3_Cell18.xlsx
275209,-17.1799125671386,stimulated,C3_Cell18,stimulated\C3_Cell18.xlsx
275210,-18.1325969696044,stimulated,C3_Cell18,stimulated\C3_Cell18.xlsx
275211,-19.8297252655029,stimulated,C3_Cell18,stimulated\C3_Cell18.xlsx
275212,-18.7699871063232,stimulated,C3_Cell18,stimulated\C3_Cell18.xlsx
