,Interevent-Interval_[ms],group,cell_ID,extras_path
10096,1476.6015625,control,C1_Cell3,control\C1_Cell3.xlsx
10097,296.898345947265,control,C1_Cell3,control\C1_Cell3.xlsx
10098,750.402282714843,control,C1_Cell3,control\C1_Cell3.xlsx
10099,2414.50024414062,control,C1_Cell3,control\C1_Cell3.xlsx
10100,586.796936035156,control,C1_Cell3,control\C1_Cell3.xlsx
10101,1544.89819335937,control,C1_Cell3,control\C1_Cell3.xlsx
10102,499.000061035156,control,C1_Cell3,control\C1_Cell3.xlsx
10103,2614.5,control,C1_Cell3,control\C1_Cell3.xlsx
10104,1984.1015625,control,C1_Cell3,control\C1_Cell3.xlsx
10105,1213.30480957031,control,C1_Cell3,control\C1_Cell3.xlsx
10106,1248.99987792968,control,C1_Cell3,control\C1_Cell3.xlsx
10107,72.1952896118164,control,C1_Cell3,control\C1_Cell3.xlsx
10108,153.000030517578,control,C1_Cell3,control\C1_Cell3.xlsx
10109,588.000061035156,control,C1_Cell3,control\C1_Cell3.xlsx
10110,373.203033447265,control,C1_Cell3,control\C1_Cell3.xlsx
10111,929.796875,control,C1_Cell3,control\C1_Cell3.xlsx
10112,1892.8046875,control,C1_Cell3,control\C1_Cell3.xlsx
10113,175.398559570312,control,C1_Cell3,control\C1_Cell3.xlsx
10114,1283.99987792968,control,C1_Cell3,control\C1_Cell3.xlsx
10115,384.0,control,C1_Cell3,control\C1_Cell3.xlsx
10116,1192.0,control,C1_Cell3,control\C1_Cell3.xlsx
10117,2204.296875,control,C1_Cell3,control\C1_Cell3.xlsx
10118,255.1015625,control,C1_Cell3,control\C1_Cell3.xlsx
10119,149.796844482421,control,C1_Cell3,control\C1_Cell3.xlsx
10120,282.203186035156,control,C1_Cell3,control\C1_Cell3.xlsx
10121,565.101501464843,control,C1_Cell3,control\C1_Cell3.xlsx
10122,253.898559570312,control,C1_Cell3,control\C1_Cell3.xlsx
10123,349.203186035156,control,C1_Cell3,control\C1_Cell3.xlsx
10124,206.398376464843,control,C1_Cell3,control\C1_Cell3.xlsx
10125,1038.10144042968,control,C1_Cell3,control\C1_Cell3.xlsx
10126,865.898376464843,control,C1_Cell3,control\C1_Cell3.xlsx
10127,47.6016235351562,control,C1_Cell3,control\C1_Cell3.xlsx
10128,2755.0,control,C1_Cell3,control\C1_Cell3.xlsx
10129,466.093627929687,control,C1_Cell3,control\C1_Cell3.xlsx
10130,422.203155517578,control,C1_Cell3,control\C1_Cell3.xlsx
10131,209.101593017578,control,C1_Cell3,control\C1_Cell3.xlsx
10135,1158.69543457031,control,C1_Cell3,control\C1_Cell3.xlsx
10136,456.203125,control,C1_Cell3,control\C1_Cell3.xlsx
10137,1341.89831542968,control,C1_Cell3,control\C1_Cell3.xlsx
10138,184.8046875,control,C1_Cell3,control\C1_Cell3.xlsx
10139,471.398406982421,control,C1_Cell3,control\C1_Cell3.xlsx
10140,153.6015625,control,C1_Cell3,control\C1_Cell3.xlsx
10141,1431.796875,control,C1_Cell3,control\C1_Cell3.xlsx
10142,218.601531982421,control,C1_Cell3,control\C1_Cell3.xlsx
10143,676.796875,control,C1_Cell3,control\C1_Cell3.xlsx
10144,550.601501464843,control,C1_Cell3,control\C1_Cell3.xlsx
10145,169.601623535156,control,C1_Cell3,control\C1_Cell3.xlsx
10146,153.695251464843,control,C1_Cell3,control\C1_Cell3.xlsx
10147,526.601623535156,control,C1_Cell3,control\C1_Cell3.xlsx
10148,82.8047103881835,control,C1_Cell3,control\C1_Cell3.xlsx
10149,357.296997070312,control,C1_Cell3,control\C1_Cell3.xlsx
10150,544.202941894531,control,C1_Cell3,control\C1_Cell3.xlsx
10151,510.5,control,C1_Cell3,control\C1_Cell3.xlsx
10152,442.000030517578,control,C1_Cell3,control\C1_Cell3.xlsx
10156,1175.19543457031,control,C1_Cell3,control\C1_Cell3.xlsx
10157,2468.8046875,control,C1_Cell3,control\C1_Cell3.xlsx
10158,47.5001258850097,control,C1_Cell3,control\C1_Cell3.xlsx
10159,531.093811035156,control,C1_Cell3,control\C1_Cell3.xlsx
10160,1860.5,control,C1_Cell3,control\C1_Cell3.xlsx
10161,2904.3046875,control,C1_Cell3,control\C1_Cell3.xlsx
10162,1460.79675292968,control,C1_Cell3,control\C1_Cell3.xlsx
10163,138.0,control,C1_Cell3,control\C1_Cell3.xlsx
10164,425.101654052734,control,C1_Cell3,control\C1_Cell3.xlsx
10165,579.796875,control,C1_Cell3,control\C1_Cell3.xlsx
10166,715.804626464843,control,C1_Cell3,control\C1_Cell3.xlsx
10167,507.499969482421,control,C1_Cell3,control\C1_Cell3.xlsx
10168,105.00015258789,control,C1_Cell3,control\C1_Cell3.xlsx
10169,1056.1953125,control,C1_Cell3,control\C1_Cell3.xlsx
10170,2780.5,control,C1_Cell3,control\C1_Cell3.xlsx
10171,943.703063964843,control,C1_Cell3,control\C1_Cell3.xlsx
10172,150.203155517578,control,C1_Cell3,control\C1_Cell3.xlsx
10173,915.593688964843,control,C1_Cell3,control\C1_Cell3.xlsx
15001,1185.10009765625,control,C1_Cell4,control\C1_Cell4.xlsx
15002,4719.2001953125,control,C1_Cell4,control\C1_Cell4.xlsx
15005,1113.70007324218,control,C1_Cell4,control\C1_Cell4.xlsx
15006,1485.3994140625,control,C1_Cell4,control\C1_Cell4.xlsx
15007,162.700378417968,control,C1_Cell4,control\C1_Cell4.xlsx
15008,981.2001953125,control,C1_Cell4,control\C1_Cell4.xlsx
15009,2035.49975585937,control,C1_Cell4,control\C1_Cell4.xlsx
15013,2585.400390625,control,C1_Cell4,control\C1_Cell4.xlsx
15014,170.699111938476,control,C1_Cell4,control\C1_Cell4.xlsx
15015,1409.90051269531,control,C1_Cell4,control\C1_Cell4.xlsx
15016,40.200080871582,control,C1_Cell4,control\C1_Cell4.xlsx
15017,3378.6005859375,control,C1_Cell4,control\C1_Cell4.xlsx
15018,1667.69921875,control,C1_Cell4,control\C1_Cell4.xlsx
15019,836.400390625,control,C1_Cell4,control\C1_Cell4.xlsx
15020,41.0002365112304,control,C1_Cell4,control\C1_Cell4.xlsx
15021,1479.40002441406,control,C1_Cell4,control\C1_Cell4.xlsx
15023,148.99998474121,control,C1_Cell4,control\C1_Cell4.xlsx
15024,511.398468017578,control,C1_Cell4,control\C1_Cell4.xlsx
15026,77.1018905639648,control,C1_Cell4,control\C1_Cell4.xlsx
15027,2043.59924316406,control,C1_Cell4,control\C1_Cell4.xlsx
15028,558.599853515625,control,C1_Cell4,control\C1_Cell4.xlsx
15029,861.900390625,control,C1_Cell4,control\C1_Cell4.xlsx
15030,861.499877929687,control,C1_Cell4,control\C1_Cell4.xlsx
15031,96.6991119384765,control,C1_Cell4,control\C1_Cell4.xlsx
15032,1456.70129394531,control,C1_Cell4,control\C1_Cell4.xlsx
15033,1263.69934082031,control,C1_Cell4,control\C1_Cell4.xlsx
15034,82.8006515502929,control,C1_Cell4,control\C1_Cell4.xlsx
15035,80.099609375,control,C1_Cell4,control\C1_Cell4.xlsx
15036,5314.998046875,control,C1_Cell4,control\C1_Cell4.xlsx
15037,86.6014404296875,control,C1_Cell4,control\C1_Cell4.xlsx
15038,2448.80102539062,control,C1_Cell4,control\C1_Cell4.xlsx
15039,1252.59753417968,control,C1_Cell4,control\C1_Cell4.xlsx
15040,421.703125,control,C1_Cell4,control\C1_Cell4.xlsx
15041,455.296813964843,control,C1_Cell4,control\C1_Cell4.xlsx
15042,1354.5,control,C1_Cell4,control\C1_Cell4.xlsx
15043,2635.0,control,C1_Cell4,control\C1_Cell4.xlsx
15044,55.5000610351562,control,C1_Cell4,control\C1_Cell4.xlsx
15046,624.203186035156,control,C1_Cell4,control\C1_Cell4.xlsx
15047,276.199432373046,control,C1_Cell4,control\C1_Cell4.xlsx
15048,290.800537109375,control,C1_Cell4,control\C1_Cell4.xlsx
15049,3537.89868164062,control,C1_Cell4,control\C1_Cell4.xlsx
15050,273.198974609375,control,C1_Cell4,control\C1_Cell4.xlsx
15051,1320.60168457031,control,C1_Cell4,control\C1_Cell4.xlsx
15052,950.999938964843,control,C1_Cell4,control\C1_Cell4.xlsx
15053,910.09765625,control,C1_Cell4,control\C1_Cell4.xlsx
15054,675.203369140625,control,C1_Cell4,control\C1_Cell4.xlsx
15055,502.296661376953,control,C1_Cell4,control\C1_Cell4.xlsx
15056,2428.203125,control,C1_Cell4,control\C1_Cell4.xlsx
15057,495.500213623046,control,C1_Cell4,control\C1_Cell4.xlsx
15059,6561.8984375,control,C1_Cell4,control\C1_Cell4.xlsx
15060,4328.1015625,control,C1_Cell4,control\C1_Cell4.xlsx
15061,2753.69555664062,control,C1_Cell4,control\C1_Cell4.xlsx
15063,677.1015625,control,C1_Cell4,control\C1_Cell4.xlsx
15064,268.8984375,control,C1_Cell4,control\C1_Cell4.xlsx
15065,201.000183105468,control,C1_Cell4,control\C1_Cell4.xlsx
15066,53.40625,control,C1_Cell4,control\C1_Cell4.xlsx
15067,93.5,control,C1_Cell4,control\C1_Cell4.xlsx
15068,2048.3984375,control,C1_Cell4,control\C1_Cell4.xlsx
15069,700.999877929687,control,C1_Cell4,control\C1_Cell4.xlsx
15070,2194.796875,control,C1_Cell4,control\C1_Cell4.xlsx
15071,301.101684570312,control,C1_Cell4,control\C1_Cell4.xlsx
15073,661.601623535156,control,C1_Cell4,control\C1_Cell4.xlsx
15074,44.6953125,control,C1_Cell4,control\C1_Cell4.xlsx
15075,3635.5,control,C1_Cell4,control\C1_Cell4.xlsx
15076,165.906433105468,control,C1_Cell4,control\C1_Cell4.xlsx
15077,4356.5,control,C1_Cell4,control\C1_Cell4.xlsx
15078,234.6953125,control,C1_Cell4,control\C1_Cell4.xlsx
15079,4186.5,control,C1_Cell4,control\C1_Cell4.xlsx
15080,588.398620605468,control,C1_Cell4,control\C1_Cell4.xlsx
15081,1063.5,control,C1_Cell4,control\C1_Cell4.xlsx
15082,1006.30450439453,control,C1_Cell4,control\C1_Cell4.xlsx
15083,359.601745605468,control,C1_Cell4,control\C1_Cell4.xlsx
15084,1017.09375,control,C1_Cell4,control\C1_Cell4.xlsx
15085,581.499938964843,control,C1_Cell4,control\C1_Cell4.xlsx
15086,656.499938964843,control,C1_Cell4,control\C1_Cell4.xlsx
15087,485.50015258789,control,C1_Cell4,control\C1_Cell4.xlsx
15088,758.101379394531,control,C1_Cell4,control\C1_Cell4.xlsx
15089,2275.3046875,control,C1_Cell4,control\C1_Cell4.xlsx
15090,340.000061035156,control,C1_Cell4,control\C1_Cell4.xlsx
15091,239.898345947265,control,C1_Cell4,control\C1_Cell4.xlsx
